submission_id,platform,campaign_type,days_live,creator_followers,avg_views_30d,video_length_sec,views,likes,comments,shares,saves,reach,avg_watch_time_sec,completion_rate,tier1_audience_pct,profile_traffic_pct,search_traffic_pct,fyp_reels_explore_pct,graph_pattern,retention_pattern,max_view_jump_pct,flatline_hours_before_jump,like_freeze_flag,late_like_spike_flag,no_matching_engagement_flag,comment_quality,suspicious_comment_pct,repeated_comment_pct,bot_like_profile_pct,views_to_avg_multiplier,like_rate,comment_rate,share_rate,engagement_rate,reach_view_ratio,fraud_risk_score,risk_level,label,decision_recommendation,likely_fraud_type,reviewer_reason,suggested_action,source_type,source_note
OBS-0001,TikTok,3 month rule,7,8664,2176,15,102146,105,0,75,209,53595,0.86,0.0574,0.4348,0.0385,0.0512,0.9103,vertical_spike_no_engagement,unknown,3.2,16,True,False,True,none,0.3619,0.0037,0.4894,46.9421,0.001028,0.0,0.000734,0.001762,0.52469,96,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement; high views with almost no comments; likes freeze while views increase,Reject; escalate only if analytics confirms deliberate botting.,observed_screenshot,"User-provided screenshot example: rejected submission with 102,146 views, 105 likes, 0 comments, 75 shares."
OBS-0002,TikTok,TripRank [CAR SLIDESHOWS] #2,4,679,7145,20,304209,2441,9,1,1165,83136,5.61,0.2807,0.6501,0.4888,0.2789,0.2323,flat_then_spike,unknown,2.8,72,False,False,True,mixed,0.4575,0.0141,0.2004,42.5765,0.008024,3e-05,3e-06,0.008057,0.273286,93,Critical,botted,Reject,fake_boost,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,observed_screenshot,"User-provided screenshot example: rejected submission with flat period then jump; 304,209 views, 9 comments, 1 share."
OBS-0003,TikTok,Match My Top Speed,9,7771,696,45,15637,280,8,0,55,6394,22.43,0.4985,0.3679,0.3874,0.0551,0.5575,step_like_batches,unknown,1.5,8,False,True,True,mixed,0.4362,0.3517,0.486,22.467,0.017906,0.000512,0.0,0.018418,0.408902,78,High,suspicious,Reject and ask for analytics in ticket,possible_autoswipe,large sudden view jump; views rise without matching engagement; late like spike,Reject and write: Send analytics in ticket.,observed_screenshot,User-provided screenshot example: rejected submission with step-like graph and low shares.
OBS-0004,TikTok,TripRank [CAR SLIDESHOWS] #2,6,7318,221552,15,1348911,184982,1131,6411,3036,710653,6.75,0.45,0.5155,0.08,0.03,0.86,normal_viral_smooth,unknown,0.32,0,False,False,False,relevant_discussion,0.4812,0.3941,0.3348,6.0885,0.137134,0.000838,0.004753,0.142726,0.526835,16,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",observed_screenshot,User-provided screenshot example labeled real engagement; smooth graph and strong engagement.
SYN-0045,Instagram,Anime Edit,14,33306,44164,60,309366,33858,1400,1022,1035,187898,32.32,0.5387,0.4412,0.1152,0.0817,0.7232,smooth_gradual,strong_retention,0.0864,0,False,False,False,short_but_relevant,0.0186,0.0725,0.0393,7.0049,0.109443,0.004525,0.003304,0.117272,0.607365,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
SYN-0134,YouTube Shorts,Tech Gadget,1,3564,1440,20,42995,616,6,27,0,27565,6.23,0.3117,0.6422,0.1899,0.2515,0.5266,late_like_spike,flat_or_odd,0.984,31,False,True,False,mixed,0.2952,0.3957,0.4124,29.8576,0.014327,0.00014,0.000628,0.015095,0.641121,48,Medium,suspicious,Needs Manual Review,needs_analytics,late like spike,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0185,YouTube Shorts,AI App Demo,9,42730,8167,15,252356,2562,11,12,213,175045,4.0,0.2664,0.3914,0.335,0.0983,0.4994,step_like_batches,flat_or_odd,1.3713,36,True,False,False,unrelated,0.4629,0.2324,0.5804,30.8995,0.010152,4.4e-05,4.8e-05,0.010243,0.693643,73,High,suspicious,Reject and ask for analytics in ticket,possible_fake_views,large sudden view jump; likes freeze while views increase; comment quality: unrelated,Reject and write: Send analytics in ticket.,synthetic,Synthetic suspicious example generated from review rules.
SYN-0239,TikTok,Mobile Game Speedrun,4,1513,168,45,22984,5,3,6,18,13442,3.03,0.0673,0.1691,0.879,0.4691,0.0,vertical_spike_no_engagement,flat_retention,2.6811,8,False,False,True,unrelated,0.8404,0.7726,0.8368,136.8095,0.000218,0.000131,0.000261,0.000609,0.584842,99,Critical,botted,Reject,autoclick_autoswipe,large sudden view jump; views rise without matching engagement; high views with almost no comments; high profile/search-style traffic,Reject; escalate only if analytics confirms deliberate botting.,synthetic,Synthetic botted example generated from review rules.
SYN-0119,YouTube Shorts,Travel Hook,1,30141,11253,10,325688,3066,2,190,158,115495,0.81,0.0806,0.5496,0.2302,0.1462,0.5975,flat_then_spike,low_watch_time,0.9103,27,False,False,True,generic_repeated,0.5432,0.4282,0.4083,28.9423,0.009414,6e-06,0.000583,0.010003,0.354619,51,Medium,suspicious,Needs Manual Review,needs_analytics,views rise without matching engagement; high views with almost no comments; comment quality: generic_repeated,"Manually review graph, comments, traffic source, geography, and account history.",synthetic,Synthetic suspicious example generated from review rules.
SYN-0110,TikTok,Tech Gadget,6,1581,348,10,16556,263,1,27,44,13320,3.8,0.3798,0.1695,0.4563,0.0746,0.3707,step_like_batches,sudden_drop,0.9299,5,False,False,True,unrelated,0.3782,0.1108,0.4545,47.5747,0.015885,6e-05,0.001631,0.017577,0.804542,73,High,suspicious,Reject and ask for analytics in ticket,needs_analytics,views rise without matching engagement; high views with almost no comments; comment quality: unrelated,Reject and write: Send analytics in ticket.,synthetic,Synthetic suspicious example generated from review rules.
SYN-0088,Instagram,Tech Gadget,5,5326,848,25,4145,423,10,18,22,3603,12.94,0.5175,0.621,0.1009,0.1067,0.7361,smooth_gradual,gradual_drop,0.1583,4,False,False,False,relevant_discussion,0.0224,0.0338,0.0269,4.888,0.102051,0.002413,0.004343,0.108806,0.86924,5,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,"Approve, but monitor high-view posts after approval.",synthetic,Synthetic clean example generated from review rules.
