submission_id,hour_since_post,views_cumulative,likes_cumulative,comments_cumulative,shares_cumulative,graph_pattern,label
OBS-0001,0,0,0,0,0,vertical_spike_no_engagement,botted
OBS-0001,2,1345,36,0,26,vertical_spike_no_engagement,botted
OBS-0001,4,1345,59,0,42,vertical_spike_no_engagement,botted
OBS-0001,6,2146,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,8,2146,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,10,2146,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,12,2146,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,14,2146,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,16,2584,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,18,71937,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,20,89604,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,22,94736,68,0,49,vertical_spike_no_engagement,botted
OBS-0001,24,102146,105,0,75,vertical_spike_no_engagement,botted
OBS-0002,0,0,0,0,0,flat_then_spike,botted
OBS-0002,2,5241,369,1,0,flat_then_spike,botted
OBS-0002,4,5241,695,3,0,flat_then_spike,botted
OBS-0002,6,6740,983,4,0,flat_then_spike,botted
OBS-0002,8,11003,1236,5,1,flat_then_spike,botted
OBS-0002,10,15568,1460,5,1,flat_then_spike,botted
OBS-0002,12,17628,1658,6,1,flat_then_spike,botted
OBS-0002,14,17628,1832,7,1,flat_then_spike,botted
OBS-0002,16,129303,1986,7,1,flat_then_spike,botted
OBS-0002,18,220472,2122,8,1,flat_then_spike,botted
OBS-0002,20,247707,2242,8,1,flat_then_spike,botted
OBS-0002,22,281331,2348,9,1,flat_then_spike,botted
OBS-0002,24,304209,2441,9,1,flat_then_spike,botted
OBS-0003,0,0,0,0,0,step_like_batches,suspicious
OBS-0003,2,263,42,1,0,step_like_batches,suspicious
OBS-0003,4,670,80,2,0,step_like_batches,suspicious
OBS-0003,6,1000,113,3,0,step_like_batches,suspicious
OBS-0003,8,1781,142,4,0,step_like_batches,suspicious
OBS-0003,10,1781,168,5,0,step_like_batches,suspicious
OBS-0003,12,3826,190,5,0,step_like_batches,suspicious
OBS-0003,14,3826,210,6,0,step_like_batches,suspicious
OBS-0003,16,6941,228,7,0,step_like_batches,suspicious
OBS-0003,18,7064,243,7,0,step_like_batches,suspicious
OBS-0003,20,10804,257,7,0,step_like_batches,suspicious
OBS-0003,22,11313,269,8,0,step_like_batches,suspicious
OBS-0003,24,15637,280,8,0,step_like_batches,suspicious
OBS-0004,0,0,0,0,0,normal_viral_smooth,clean
OBS-0004,2,35945,4929,30,171,normal_viral_smooth,clean
OBS-0004,4,62457,8565,52,297,normal_viral_smooth,clean
OBS-0004,6,154840,21234,130,736,normal_viral_smooth,clean
OBS-0004,8,305688,41920,256,1453,normal_viral_smooth,clean
OBS-0004,10,482494,66166,405,2293,normal_viral_smooth,clean
OBS-0004,12,734224,100687,616,3490,normal_viral_smooth,clean
OBS-0004,14,957504,131307,803,4551,normal_viral_smooth,clean
OBS-0004,16,1125049,154283,943,5347,normal_viral_smooth,clean
OBS-0004,18,1245317,170776,1044,5919,normal_viral_smooth,clean
OBS-0004,20,1282360,175856,1075,6095,normal_viral_smooth,clean
OBS-0004,22,1348173,184881,1130,6407,normal_viral_smooth,clean
OBS-0004,24,1348911,184982,1131,6411,normal_viral_smooth,clean
SYN-0045,0,0,0,0,0,smooth_gradual,clean
SYN-0045,2,71824,7861,325,237,smooth_gradual,clean
SYN-0045,4,131362,14377,594,434,smooth_gradual,clean
SYN-0045,6,175639,19223,795,580,smooth_gradual,clean
SYN-0045,8,213878,23407,968,707,smooth_gradual,clean
