submission_id,hour_since_post,views_cumulative,likes_cumulative,comments_cumulative,shares_cumulative,graph_pattern,label
GEN-000001,0,0,0,0,0,flat_then_spike,botted
GEN-000001,2,579,2,0,0,flat_then_spike,botted
GEN-000001,4,1158,4,0,0,flat_then_spike,botted
GEN-000001,6,1737,6,0,0,flat_then_spike,botted
GEN-000001,8,2316,8,0,0,flat_then_spike,botted
GEN-000001,10,210753,731,4,9,flat_then_spike,botted
GEN-000001,12,236005,795,4,10,flat_then_spike,botted
GEN-000001,14,254214,816,5,11,flat_then_spike,botted
GEN-000001,16,279059,913,6,12,flat_then_spike,botted
GEN-000001,18,297549,979,6,13,flat_then_spike,botted
GEN-000001,20,306718,1046,6,14,flat_then_spike,botted
GEN-000001,22,314342,1083,6,15,flat_then_spike,botted
GEN-000001,24,342301,1165,6,15,flat_then_spike,botted
GEN-000002,0,0,0,0,0,smooth_gradual,clean
GEN-000002,2,3095,94,50,10,smooth_gradual,clean
GEN-000002,4,7764,303,66,30,smooth_gradual,clean
GEN-000002,6,9140,435,86,42,smooth_gradual,clean
GEN-000002,8,13782,595,92,76,smooth_gradual,clean
GEN-000002,10,23854,659,126,82,smooth_gradual,clean
GEN-000002,12,32113,788,149,93,smooth_gradual,clean
GEN-000002,14,38284,1082,182,102,smooth_gradual,clean
GEN-000002,16,39348,1220,226,120,smooth_gradual,clean
GEN-000002,18,40454,1682,287,127,smooth_gradual,clean
GEN-000002,20,45190,1906,338,132,smooth_gradual,clean
GEN-000002,22,48391,2216,391,141,smooth_gradual,clean
GEN-000002,24,48843,2583,470,147,smooth_gradual,clean
GEN-000003,0,0,0,0,0,step_like_batches,botted
GEN-000003,2,1988,15,0,1,step_like_batches,botted
GEN-000003,4,3976,30,0,2,step_like_batches,botted
GEN-000003,6,5964,371,7,3,step_like_batches,botted
GEN-000003,8,7952,387,7,40,step_like_batches,botted
GEN-000003,10,9940,402,16,72,step_like_batches,botted
GEN-000003,12,89109,417,16,91,step_like_batches,botted
GEN-000003,14,91097,871,16,92,step_like_batches,botted
GEN-000003,16,93085,887,26,111,step_like_batches,botted
GEN-000003,18,151250,903,27,112,step_like_batches,botted
GEN-000003,20,227944,919,27,130,step_like_batches,botted
GEN-000003,22,229932,1345,28,131,step_like_batches,botted
GEN-000003,24,273322,1844,40,132,step_like_batches,botted
GEN-000004,0,0,0,0,0,vertical_spike_no_engagement,botted
GEN-000004,2,1132,2,0,1,vertical_spike_no_engagement,botted
GEN-000004,4,2264,4,0,2,vertical_spike_no_engagement,botted
GEN-000004,6,3396,6,0,3,vertical_spike_no_engagement,botted
GEN-000004,8,4528,8,0,4,vertical_spike_no_engagement,botted
GEN-000004,10,5660,119,0,51,vertical_spike_no_engagement,botted
GEN-000004,12,6792,121,0,52,vertical_spike_no_engagement,botted
GEN-000004,14,57730,123,0,53,vertical_spike_no_engagement,botted
GEN-000004,16,58862,126,0,54,vertical_spike_no_engagement,botted
GEN-000004,18,59994,129,0,55,vertical_spike_no_engagement,botted
GEN-000004,20,61126,132,0,56,vertical_spike_no_engagement,botted
GEN-000004,22,62258,135,0,57,vertical_spike_no_engagement,botted
GEN-000004,24,63390,138,0,58,vertical_spike_no_engagement,botted
GEN-000005,0,0,0,0,0,low_engagement_smooth,suspicious
GEN-000005,2,8870,331,0,11,low_engagement_smooth,suspicious
GEN-000005,4,10887,392,0,15,low_engagement_smooth,suspicious
GEN-000005,6,18012,458,2,19,low_engagement_smooth,suspicious
GEN-000005,8,24393,693,2,22,low_engagement_smooth,suspicious
GEN-000005,10,29732,856,4,38,low_engagement_smooth,suspicious
GEN-000005,12,37972,1019,6,45,low_engagement_smooth,suspicious
GEN-000005,14,41066,1786,8,47,low_engagement_smooth,suspicious
GEN-000005,16,51677,2111,9,58,low_engagement_smooth,suspicious
GEN-000005,18,59187,2275,11,62,low_engagement_smooth,suspicious
GEN-000005,20,61158,2324,12,62,low_engagement_smooth,suspicious
GEN-000005,22,69032,2491,16,65,low_engagement_smooth,suspicious
GEN-000005,24,74453,2570,19,76,low_engagement_smooth,suspicious
GEN-000006,0,0,0,0,0,normal_viral_smooth,clean
GEN-000006,2,4453,1136,56,5,normal_viral_smooth,clean
GEN-000006,4,7770,1445,63,28,normal_viral_smooth,clean
GEN-000006,6,12201,2394,103,46,normal_viral_smooth,clean
GEN-000006,8,20265,2632,230,70,normal_viral_smooth,clean
GEN-000006,10,25129,3724,382,116,normal_viral_smooth,clean
GEN-000006,12,27433,4387,431,223,normal_viral_smooth,clean
GEN-000006,14,36556,4680,555,304,normal_viral_smooth,clean
GEN-000006,16,43585,5153,634,333,normal_viral_smooth,clean
GEN-000006,18,72952,6494,785,350,normal_viral_smooth,clean
GEN-000006,20,75984,7402,868,389,normal_viral_smooth,clean
GEN-000006,22,85328,7870,1018,420,normal_viral_smooth,clean
GEN-000006,24,92802,8626,1091,531,normal_viral_smooth,clean
GEN-000007,0,0,0,0,0,late_like_spike,suspicious
GEN-000007,2,2072,97,0,0,late_like_spike,suspicious
GEN-000007,4,9533,194,0,0,late_like_spike,suspicious
GEN-000007,6,12209,291,0,0,late_like_spike,suspicious
GEN-000007,8,14844,388,0,0,late_like_spike,suspicious
